[21:41:04] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:41:06] [ServerMain/INFO]: Loaded 7 recipes
[21:41:07] [ServerMain/INFO]: Loaded 1271 advancements
[21:41:07] [Server thread/INFO]: Starting minecraft server version 1.20.1
[21:41:07] [Server thread/INFO]: Loading properties
[21:41:07] [Server thread/INFO]: Default game type: SURVIVAL
[21:41:07] [Server thread/INFO]: Generating keypair
[21:41:08] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:41:08] [Server thread/INFO]: Using epoll channel type
[21:41:08] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[21:41:08] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[21:41:08] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[21:41:08] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[21:41:08] [Server thread/INFO]: Preparing level "world"
[21:41:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:41:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:41:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:42:05] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[21:42:05] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[21:42:05] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[21:42:05] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[21:42:06] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[21:42:09] [Server thread/INFO]: Time elapsed: 48971 ms
[21:42:09] [Server thread/INFO]: Done (60.735s)! For help, type "help"
[21:50:15] [Server thread/INFO]: Pablo_XD240[/127.100.97.11:58177] logged in with entity id 481 at (57.5, 68.0, -4.5)
[21:50:15] [Server thread/INFO]: Pablo_XD240 joined the game
[21:50:38] [Server thread/INFO]: Made Pablo_XD240 a server operator
